epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,9201.82,0.69336,0.54867,1.0655,0.90841,0.88945,0.94732,0.85269,0.56014,0.46548,0.97702,0.0028225,0.0028225,0.0028225
60,9354.93,0.68769,0.53726,1.06044,0.91397,0.88793,0.94788,0.85426,0.55373,0.4617,0.97188,0.00269875,0.00269875,0.00269875
61,9508.89,0.68675,0.53117,1.06131,0.90637,0.89176,0.94925,0.85419,0.55628,0.45684,0.97392,0.002575,0.002575,0.002575
62,9663.4,0.68512,0.53273,1.05852,0.91939,0.88456,0.95024,0.85582,0.55364,0.45641,0.97275,0.00245125,0.00245125,0.00245125
63,9818.81,0.67433,0.52524,1.05605,0.91361,0.89292,0.95027,0.85697,0.5455,0.46092,0.96504,0.0023275,0.0023275,0.0023275
64,9975.66,0.67741,0.52665,1.05637,0.92277,0.88017,0.95,0.85618,0.55391,0.45884,0.97364,0.00220375,0.00220375,0.00220375
65,10132.3,0.66765,0.51785,1.05165,0.91996,0.87901,0.95106,0.85637,0.55273,0.45421,0.97459,0.00208,0.00208,0.00208
66,10286.6,0.67065,0.51411,1.05373,0.92589,0.88182,0.95146,0.8579,0.55045,0.45302,0.97419,0.00195625,0.00195625,0.00195625
67,10440,0.66558,0.51071,1.05069,0.91534,0.89071,0.95045,0.85857,0.5475,0.4553,0.97437,0.0018325,0.0018325,0.0018325
68,10595.5,0.66612,0.50851,1.05107,0.91368,0.89356,0.95041,0.85771,0.54989,0.45105,0.97633,0.00170875,0.00170875,0.00170875
69,10748.2,0.66121,0.50053,1.04734,0.91587,0.89177,0.94965,0.85726,0.54859,0.45426,0.97405,0.001585,0.001585,0.001585
70,10903.6,0.65602,0.49649,1.04521,0.9314,0.87997,0.94912,0.85703,0.54916,0.45392,0.97645,0.00146125,0.00146125,0.00146125
71,11055.3,0.5557,0.35626,1.00512,0.9195,0.8852,0.94782,0.85546,0.54972,0.45737,0.97634,0.0013375,0.0013375,0.0013375
72,11203.4,0.544,0.33893,0.99418,0.92205,0.88033,0.94768,0.85605,0.54642,0.45816,0.97253,0.00121375,0.00121375,0.00121375
73,11350.1,0.53635,0.33476,0.99496,0.92167,0.87951,0.94816,0.85611,0.54329,0.45496,0.96903,0.00109,0.00109,0.00109
74,11495,0.53135,0.3285,0.99002,0.92706,0.87865,0.94798,0.85787,0.54037,0.45647,0.96675,0.00096625,0.00096625,0.00096625
75,11641.2,0.52074,0.32031,0.98561,0.92325,0.88434,0.94714,0.85805,0.53931,0.45805,0.96627,0.0008425,0.0008425,0.0008425
76,11788,0.51953,0.31882,0.98159,0.92407,0.88492,0.94715,0.85747,0.53973,0.45863,0.968,0.00071875,0.00071875,0.00071875
77,11934.1,0.51395,0.31046,0.98042,0.92621,0.88354,0.94731,0.85793,0.53974,0.45721,0.96846,0.000595,0.000595,0.000595
78,12080.8,0.51282,0.31013,0.97821,0.92321,0.88642,0.94687,0.85788,0.53741,0.45593,0.96687,0.00047125,0.00047125,0.00047125
79,12226.9,0.50723,0.30734,0.97675,0.91944,0.88925,0.94742,0.85853,0.53652,0.45311,0.96629,0.0003475,0.0003475,0.0003475
80,12372,0.50298,0.30348,0.97745,0.92221,0.88559,0.94704,0.85808,0.53697,0.45479,0.96759,0.00022375,0.00022375,0.00022375
